date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:10:34	8521/8521	---M--	200	added ('OK')	image/png	etag:%222149-57977321ecc76%22	https://dwebs.io/assets/img/dsite.png	/tmp/dwebs.io/dwebs.io/assets/img/dsite.png	(from https://dwebs.io/)
23:10:35	6469/6469	---M--	200	added ('OK')	image/png	etag:%221945-5797730824151%22	https://dwebs.io/assets/img/dstatus.png	/tmp/dwebs.io/dwebs.io/assets/img/dstatus.png	(from https://dwebs.io/)
23:10:36	8337/8337	---M--	200	added ('OK')	image/png	etag:%222091-579773025f7ec%22	https://dwebs.io/assets/img/dseek.png	/tmp/dwebs.io/dwebs.io/assets/img/dseek.png	(from https://dwebs.io/)
23:10:37	13884/13884	---M--	200	added ('OK')	image/png	etag:%22363c-579772deee19e%22	https://dwebs.io/assets/img/dpix.png	/tmp/dwebs.io/dwebs.io/assets/img/dpix.png	(from https://dwebs.io/)
23:10:38	4182/4182	---M--	200	added ('OK')	image/png	etag:%221056-5797730927da3%22	https://dwebs.io/assets/img/dpress.png	/tmp/dwebs.io/dwebs.io/assets/img/dpress.png	(from https://dwebs.io/)
23:10:39	11847/11847	---M--	200	added ('OK')	image/png	etag:%222e47-579773243e89f%22	https://dwebs.io/assets/img/dtunes.png	/tmp/dwebs.io/dwebs.io/assets/img/dtunes.png	(from https://dwebs.io/)
23:10:40	11481/11481	---M--	200	added ('OK')	image/png	etag:%222cd9-579772e306f25%22	https://dwebs.io/assets/img/ddns.png	/tmp/dwebs.io/dwebs.io/assets/img/ddns.png	(from https://dwebs.io/)
23:10:41	15062/15062	---M--	200	added ('OK')	image/png	etag:%223ad6-5797731cddd5d%22	https://dwebs.io/assets/img/avote.png	/tmp/dwebs.io/dwebs.io/assets/img/avote.png	(from https://dwebs.io/)
23:10:42	6077/6077	---M--	200	added ('OK')	image/png	etag:%2217bd-579772d8d0a52%22	https://dwebs.io/assets/img/dnames.png	/tmp/dwebs.io/dwebs.io/assets/img/dnames.png	(from https://dwebs.io/)
23:10:43	6978/6978	---M--	200	added ('OK')	image/png	etag:%221b42-579772ff0ce52%22	https://dwebs.io/assets/img/aexchange.png	/tmp/dwebs.io/dwebs.io/assets/img/aexchange.png	(from https://dwebs.io/)
23:10:44	25827/25827	---M--	200	added ('OK')	image/png	etag:%2264e3-5797730e4189d%22	https://dwebs.io/assets/img/jared.png	/tmp/dwebs.io/dwebs.io/assets/img/jared.png	(from https://dwebs.io/)
23:10:45	1032/1032	---M--	200	added ('OK')	image/svg+xml	etag:%22408-579773263d4a2%22	https://dwebs.io/assets/img/logo-white.svg	/tmp/dwebs.io/dwebs.io/assets/img/logo-white.svg	(from https://dwebs.io/)
23:10:46	271/271	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2031%20May%202020%2017:40:46%20GMT	https://dwebs.io/distdns.html	/tmp/dwebs.io/dwebs.io/distdns.html	(from https://dwebs.io/)
23:10:47	86659/86659	---M-Z	200	added ('OK')	application/javascript	etag:%2215283-579772c760b40-gzip%22	https://dwebs.io/assets/js/jquery.min.js	/tmp/dwebs.io/dwebs.io/assets/js/jquery.min.js	(from https://dwebs.io/)
23:10:48	20560/20560	---M-Z	200	added ('OK')	application/javascript	etag:%225050-579772c8d1d99-gzip%22	https://dwebs.io/assets/js/popper.min.js	/tmp/dwebs.io/dwebs.io/assets/js/popper.min.js	(from https://dwebs.io/)
23:10:49	11486/11486	---M-Z	200	added ('OK')	application/javascript	etag:%222cde-579772c967444-gzip%22	https://dwebs.io/assets/js/jquery.smartWizard.min.js	/tmp/dwebs.io/dwebs.io/assets/js/jquery.smartWizard.min.js	(from https://dwebs.io/)
23:10:50	54096/54096	---M-Z	200	added ('OK')	application/javascript	etag:%22d350-579772ca028ae-gzip%22	https://dwebs.io/assets/js/flickity.pkgd.min.js	/tmp/dwebs.io/dwebs.io/assets/js/flickity.pkgd.min.js	(from https://dwebs.io/)
23:10:51	9999/9999	---M-Z	200	added ('OK')	application/javascript	etag:%22270f-579772caa1b99-gzip%22	https://dwebs.io/assets/js/scrollMonitor.js	/tmp/dwebs.io/dwebs.io/assets/js/scrollMonitor.js	(from https://dwebs.io/)
23:10:52	18552/18552	---M-Z	200	added ('OK')	application/javascript	etag:%224878-579772c43a0c9-gzip%22	https://dwebs.io/assets/js/smooth-scroll.polyfills.js	/tmp/dwebs.io/dwebs.io/assets/js/smooth-scroll.polyfills.js	(from https://dwebs.io/)
23:10:53	20925/20925	---M-Z	200	added ('OK')	application/javascript	etag:%2251bd-579772c2cccf0-gzip%22	https://dwebs.io/assets/js/prism.js	/tmp/dwebs.io/dwebs.io/assets/js/prism.js	(from https://dwebs.io/)
23:10:54	3812/3812	---M-Z	200	added ('OK')	application/javascript	etag:%22ee4-579772c3642da-gzip%22	https://dwebs.io/assets/js/zoom.min.js	/tmp/dwebs.io/dwebs.io/assets/js/zoom.min.js	(from https://dwebs.io/)
23:10:55	114309/114309	---M-Z	200	added ('OK')	application/javascript	etag:%221be85-579772c5e3d66-gzip%22	https://dwebs.io/assets/js/bootstrap.js	/tmp/dwebs.io/dwebs.io/assets/js/bootstrap.js	(from https://dwebs.io/)
23:10:56	10284/10284	---M-Z	200	added ('OK')	application/javascript	etag:%22282c-579772c683ff1-gzip%22	https://dwebs.io/assets/js/theme.js	/tmp/dwebs.io/dwebs.io/assets/js/theme.js	(from https://dwebs.io/)
23:10:57	69676/69676	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%221102c-5797732d4907d%22	https://dwebs.io/assets/fonts/socicon.eot?a93r5t	/tmp/dwebs.io/dwebs.io/assets/fonts/socicon21b8.eot	(from https://dwebs.io/assets/css/socicon.css)
